MATH201,Discrete Mathematics,,
CSCI300,Introduction to Algorithms,CSCI200,MATH201,
CSCI350,Operating Systems,CSCI300,
ENGL202,English Literature and Composition,ENGL201,
CSCI101,Introduction to Programming in C++,CSCI100,
CSCI100,Introduction to Computer Science,,
CSCI301,Advanced Programming in C++,CSCI101,
MUSI202,Music Composition,MUSI201,
GAMM202,Game Design and Development,GAMM201,
CSCI400,Large Software Development,CSCI301,CSCI350,
CSCI200,Data Structures,CSCI101,
MATH202,Simple Mathematics,MATH201,
ENGL201,English Language and Literature,,
MUSI201,Music Theory,,
GAMM201,Game Theory,,
SCIV201,Scientific Visualization,,
SOPH201,Sophomore Seminar,,
